GEO_SPATIAL_KEY,NODE_TYPE,NODE_DESC,NODE_TRANSPORT,LONGITUDE,LATITUDE
3031,station,Opposite AIA Tower,BUS,103.8508796,1.2820939
3041,station,Opposite PWC Building,BUS,103.848862,1.281899
3059,station,One Raffles Quay,BUS,103.8514411,1.2811273
3071,station,Opposite The Ogilvy Centre,BUS,103.8494157,1.2800076
3111,station,After Capital Tower,BUS,103.8481188,1.2779185
3129,station,UIC Building,BUS,103.849404,1.27788
3151,station,Opposite GB Building,BUS,103.8478599,1.2789778
3211,station,Before Shenton Way,BUS,103.8467303,1.2733014
3217,station,Opposite Temasek Tower,BUS,103.8478738,1.2754226
3218,station,Opposite MAS Building,BUS,103.8469287,1.2741716
3219,station,After Shenton Way,BUS,103.8468284,1.2734712
3222,station,Hub Synergy Point,BUS,103.8448503,1.2739607
3223,station,International Plaza,BUS,103.8463612,1.2757996
3239,station,Shenton Way Terminal,BUS,103.8465625,1.2729542
3319,station,Opposite Marina Bay Station,BUS,103.8553607,1.2749795
3331,station,Marina City Park,BUS,103.8607887,1.2765718
3339,station,After Marina Gardens Drive,BUS,103.8601194,1.2744821
3341,station,Before Gardens by the Bay,BUS,103.8644634,1.2797052
3349,station,After Gardens by the Bay,BUS,103.8650113,1.2798298
3369,station,Marina Barrage,BUS,103.8693241,1.2799388
3371,station,Gardens by the Bay,BUS,103.8667252,1.2806854
3381,station,The Sail,BUS,103.8531167,1.2815985
3391,station,Marina Bay Financial Centre,BUS,103.8551756,1.280328
3411,station,Opposite Marina South Pier,BUS,103.8625493,1.2713457
3419,station,Marina South Pier Terminal,BUS,103.8629306,1.2711522
3421,station,Marina Bay Cruise Centre,BUS,103.8598273,1.2664587
3501,station,Marina Bay Sands Theatre,BUS,103.86061,1.2849995
3509,station,Marina Bay Sands Hotel,BUS,103.8600695,1.2831859
3511,station,Marina Bay Sands MICE,BUS,103.8599302,1.2835399
3529,station,Downtown Station,BUS,103.8528081,1.2792744
3539,station,Marina Station,BUS,103.8552589,1.2777309
4019,station,Plaza by The Park,BUS,103.8497855,1.2980858
4029,station,Aft Prinsep Link,BUS,103.8509928,1.2995898
4111,station,Capitol Building,BUS,103.851349,1.2939406
4121,station,SMU,BUS,103.8496233,1.296126
4142,station,Armenian Church,BUS,103.8497025,1.2931652
4143,station,Stamford Court,BUS,103.8501808,1.2940901
4149,station,Grand Park City Hall,BUS,103.849851,1.292744
4151,station,Cathedral Of The Good Shepherd,BUS,103.8510769,1.2953206
4159,station,After Chijmes,BUS,103.8510813,1.2948868
4167,station,Saint Andrew's Cathedral,BUS,103.8517044,1.2928628
4168,station,Opposite Peninsula Plaza,BUS,103.8512792,1.2921393
4179,station,NTUC Income Centre,BUS,103.8514669,1.296462
4189,station,Manulife Centre,BUS,103.8498507,1.2977575
4211,station,Clarke Quay,BUS,103.8471147,1.2904046
4219,station,Opposite Clarke Quay,BUS,103.8468446,1.2909767
4222,station,Clarke Quay Station,BUS,103.8471376,1.2889931
4223,station,Old Hill Street Police Station,BUS,103.8486133,1.2909182
4229,station,High Street Centre,BUS,103.8487542,1.2904649
4239,station,Clarke Quay Station,BUS,103.8475668,1.2889384
4249,station,Opposite The Treasury,BUS,103.850327,1.2905265
4251,station,Opposite High Street Centre,BUS,103.8488613,1.289743
4311,station,After River Valley Road,BUS,103.8439086,1.2947095
4321,station,Shell House,BUS,103.843075,1.292158
4329,station,Opposite Shell House,BUS,103.843238,1.291907
4331,station,Liang Court,BUS,103.8448574,1.2919723
4339,station,Opposite Liang Court,BUS,103.8446102,1.2926105
5009,station,Opposite OCBC Centre,BUS,103.849213,1.285865
5012,station,Pearl's Centre,BUS,103.8408134,1.2814665
5013,station,People's Park Complex,BUS,103.8430394,1.2841021
5019,station,Opposite Pearl's Centre,BUS,103.8411075,1.2812265
5022,station,People's Park Centre,BUS,103.8444415,1.285772
5023,station,Opposite Hong Lim Park,BUS,103.8454734,1.2870324
5029,station,Boat Quay,BUS,103.848334,1.287261
5039,station,New Bridge Centre,BUS,103.8425037,1.2828868
5049,station,Chinatown Point,BUS,103.8445216,1.2852835
5059,station,Hong Lim Park,BUS,103.8458238,1.2867955
5129,station,Hong Lim Park,BUS,103.8462955,1.286087
5131,station,Opposite Hong Lim Complex,BUS,103.845215,1.284064
